"date","open","high","low","close","volume_lots","turnover_100m","dividend","ret","tri","close_adj","ma20","ma60","ma120","ret5","ret20","ret60","drawdown20","drawdown60","rsi14","rv20","avg_vol20","volume_ratio","close_adj_gt_ma20","ma20_gt_ma60","close_adj_gt_ma120","ret60_positive"
"2020-12-10","15.21","15.62","15.11","15.3","167236","25.5995","0",,"100","15.3",,,,,,,,,,,,,,,,
"2020-12-11","15.1","15.12","15","15.02","215449","32.4344","0","-0.0183006535947713","98.1699346405229","15.02",,,,,,,,,,,,,,,,
"2020-12-14","14.91","14.91","14.82","14.83","137489","20.4337","0","-0.0126498002663116","96.9281045751634","14.83",,,,,,,,,,,,,,,,
"2020-12-15","14.81","14.86","14.67","14.67","94640","13.9524","0","-0.0107889413351315","95.8823529411764","14.67",,,,,,,,,,,,,,,,
"2020-12-16","14.76","14.88","14.76","14.85","38406","5.6994","0","0.0122699386503067","97.0588235294117","14.85",,,,,,,,,,,,,,,,
"2020-12-17","14.91","14.93","14.79","14.87","24998","3.714","0","0.00134680134680121","97.1895424836601","14.87",,,,"-0.0281045751633989",,,,,,,,,,,,
"2020-12-18","14.9","14.92","14.84","14.84","23374","3.4764","0","-0.00201748486886344","96.9934640522875","14.84",,,,"-0.0119840213049269",,,,,,,,,,,,
"2020-12-21","14.86","14.91","14.7","14.9","24126","3.5721","0","0.00404312668463613","97.3856209150326","14.9",,,,"0.00472016183411994",,,,,,,,,,,,
"2020-12-22","14.9","14.99","14.75","14.76","28708","4.2658","0","-0.00939597315436247","96.4705882352941","14.76",,,,"0.00613496932515312",,,,,,,,,,,,
"2020-12-23","14.78","14.86","14.75","14.85","11819","1.7501","0","0.00609756097560976","97.0588235294117","14.85",,,,"-1.11022302462516E-16",,,,,,,,,,,,
"2020-12-24","14.9","14.93","14.87","14.88","9465","1.4104","0","0.00202020202020203","97.2549019607843","14.88",,,,"0.000672494956287739",,,,,,,,,,,,
"2020-12-25","14.93","15","14.93","14.97","20290","3.0381","0","0.00604838709677424","97.8431372549019","14.97",,,,"0.00876010781671188",,,,,,,,,,,,
"2020-12-28","15.01","15.13","15.01","15.12","18261","2.752","0","0.0100200400801602","98.8235294117647","15.12",,,,"0.0147651006711409",,,,,,,,,,,,
"2020-12-29","15.17","15.17","15.05","15.08","17052","2.5751","0","-0.00264550264550256","98.562091503268","15.08",,,,"0.0216802168021679",,,,,,,,,,,,
"2020-12-30","15.08","15.18","15.05","15.17","16098","2.4329","0","0.00596816976127323","99.1503267973856","15.17",,,,"0.0215488215488215",,,,,"45.8064516129031",,,,,,,
"2020-12-31","15.21","15.26","15.18","15.25","21507","3.2753","0","0.00527356624917608","99.6732026143791","15.25",,,,"0.0248655913978495",,,,,"48.6600846262341",,,,,,,
"2021-01-04","15.37","15.62","15.31","15.61","43868","6.8048","0","0.0236065573770492","102.02614379085","15.61",,,,"0.0427521710086842",,,,,"59.097588382747",,,,,,,
"2021-01-05","15.62","15.77","15.58","15.77","41062","6.4412","0","0.0102498398462525","103.071895424837","15.77",,,,"0.0429894179894181",,,,,"62.72472959735",,,,,,,
"2021-01-06","15.9","16.14","15.69","15.85","67390","10.7479","0","0.00507292327203546","103.59477124183","15.85",,,,"0.05106100795756",,,,,"64.4234954133297",,,,,,,
"2021-01-07","16","16.15","15.91","16.12","34886","5.5992","0","0.0170347003154574","105.359477124183","16.12","15.1355",,,"0.062623599208965",,,"0",,"69.4790541397272",,,,"True",,,
"2021-01-08","16.25","16.43","16.21","16.43","46496","7.5855","0","0.0192307692307692","107.385620915033","16.43","15.192",,,"0.0773770491803278","0.0738562091503265",,"0",,"74.0403418389456","0.171068369248621","46769.2338","0.994163261233499","True",,,
"2021-01-11","16.5","17.25","16.46","17.23","83918","14.1159","0","0.0486914181375533","112.614379084967","17.23","15.3025",,,"0.103779628443306","0.147137150466045",,"0",,"81.6583428385424","0.216450359017978","40192.65405","2.08788859515486","True",,,
