交易日,EOS,評級,覆蓋率,資料狀態,A 價格/折溢價,B 含息趨勢/回檔,C 成分股廣度,D 海外科技,E 波動/風險,F 量價/法人,收盤,折溢價,RSI14,量比
2026-08-14,52,中性等待,100.0,confirmed,6.0,16.0,4.0,9.3,12.0,5.0,54.8,0.0038,60.18810085030267,3.096710175186843
2026-08-17,60,中性等待,100.0,confirmed,2.0,16.0,15.0,6.5,12.0,9.0,55.15,0.009000000000000001,61.317789248843546,3.644956976704741
2026-08-18,50,中性等待,100.0,confirmed,6.0,17.0,2.0,11.2,12.0,2.0,49.48,0.003,56.07882874186242,2.3155996198401474
2026-08-19,47,偏不利,100.0,confirmed,13.0,18.0,0.0,0.75,12.0,3.0,48.54,-0.0021,51.52658269026008,1.1605583587510613
2026-08-20,56,中性等待,100.0,confirmed,10.0,18.0,6.0,4.25,11.0,7.0,48.68,-0.001,52.14959591927788,0.8107359921347136
2026-08-21,74,偏有利,100.0,confirmed,13.0,18.0,14.0,9.45,11.0,9.0,48.59,-0.0014000000000000002,51.68966090743263,0.41876445404627344
2026-08-24,48,偏不利,100.0,confirmed,6.0,18.0,2.0,6.7,10.0,5.0,48.46,0.0037,50.990113695935555,0.6771209890864798
2026-08-25,63,中性等待,100.0,confirmed,13.0,18.0,15.0,0.75,11.0,5.0,48.5,-0.0029,51.208917627614355,0.6845109350901993
2026-08-26,75,偏有利,100.0,confirmed,10.0,15.0,20.0,13.4,11.0,6.0,49.53,-0.0002,56.58397827906566,0.44726181587393055
2026-08-27,57,中性等待,100.0,confirmed,10.0,17.0,8.0,6.0,10.0,6.0,49.61,0.0004,56.980390311254325,0.4139152673720985
2026-08-28,84,高機會區,100.0,confirmed,13.0,18.0,19.0,15.0,12.0,7.0,50.0,-0.0034000000000000002,58.94822255065956,0.510286488895237
2026-08-31,56,中性等待,100.0,confirmed,15.0,19.0,2.0,0.75,13.0,6.0,49.58,-0.005600000000000001,55.97852368500081,0.4833246224137212
2026-09-01,80,高機會區,100.0,confirmed,13.0,20.0,17.0,8.9,12.0,9.0,51.05,-0.0025,63.00363869297406,0.856696192802213
2026-09-02,48,偏不利,100.0,confirmed,10.0,21.0,0.0,2.75,10.0,4.0,50.0,-0.0004,56.11512652962825,0.5279213098321278
2026-09-03,59,中性等待,100.0,confirmed,6.0,22.0,6.0,9.0,11.0,5.0,49.8,0.0044,54.88419893668124,0.3579615138411153
2026-09-04,81,高機會區,100.0,confirmed,13.0,21.0,20.0,9.9,11.0,6.0,50.35,-0.0012,57.63629668908666,0.40551647651585393
2026-09-07,84,高機會區,100.0,confirmed,13.0,20.0,19.0,12.9,12.0,7.0,51.35,-0.0045000000000000005,62.15641170414064,0.6260044114671124
2026-09-08,64,中性等待,100.0,confirmed,13.0,21.0,0.0,12.9,11.0,6.0,50.8,-0.0029,58.46174941563161,0.31915640438313475
2026-09-09,72,偏有利,100.0,confirmed,13.0,20.0,13.0,9.5,11.0,5.0,50.95,-0.0037,59.174493542087845,0.2704311731776008
2026-09-10,62,中性等待,100.0,confirmed,15.0,21.0,6.0,5.0,10.0,5.0,50.5,-0.005699999999999999,56.06640018043698,0.34570273388116834
2026-09-11,44,偏不利,100.0,confirmed,10.0,20.0,0.0,0.75,10.0,3.0,49.96,0.001,52.50265455176033,0.8332582239427269
2026-09-14,52,中性等待,100.0,confirmed,10.0,19.0,0.0,12.1,8.0,3.0,49.54,0.001,49.84867334247002,0.9660322316821967
2026-09-15,42,偏不利,100.0,confirmed,6.0,19.0,4.0,0.75,9.0,3.0,49.21,0.0033,47.803971929180996,0.940169638142506
2026-09-16,69,偏有利,100.0,confirmed,10.0,20.0,19.0,6.65,9.0,4.0,49.65,0.0016,50.707212919596714,0.6153134443534021
2026-09-17,67,偏有利,100.0,confirmed,10.0,18.0,14.0,11.1,8.0,6.0,49.81,0.0018,51.758019418314326,0.5999752965059997
2026-09-18,86,高機會區,100.0,confirmed,13.0,20.0,20.0,15.0,9.0,9.0,51.0,-0.0029,58.79381822066232,0.8829758058755579
2026-09-21,84,高機會區,100.0,confirmed,13.0,20.0,19.0,12.1,11.0,9.0,51.8,-0.0048,62.72918225918397,0.9375136040282968
2026-09-22,83,高機會區,100.0,confirmed,13.0,20.0,15.0,15.0,11.0,9.0,52.2,-0.0038,64.55210266135394,0.9534270785125264
2026-09-23,80,高機會區,100.0,confirmed,13.0,19.0,17.0,12.9,11.0,7.0,52.6,-0.0045000000000000005,66.3258048110317,0.5059481937544873
2026-09-24,58,中性等待,100.0,confirmed,13.0,19.0,9.0,3.75,9.0,4.0,52.5,-0.0038,65.44417572978722,0.5723065142876179
